topology_id,num_peers,num_orderers,num_orgs,num_channels,num_endorsers,features,block_size,batch_timeout,workload_type,read_ratio,tx_load_tps,tx_number,worker_count,avg_latency_s,throughput_tps,success_rate,max_latency_s,min_latency_s
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,1000,2,1.9,0.0,1,6,1.26
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,1000,2,1.49,0.0,1,3,0.72
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,1000,2,1.79,0.0,1,3,1.01
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,1000,4,1.41,0.0,1,4,0.92
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,1000,4,1.32,0.0,1,4,0.79
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,1000,4,1.63,0.0,1,4,0.91
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,1000,8,1.46,0.0,1,2,0.69
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,1000,8,1.32,0.0,1,2,0.63
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,1000,8,1.49,0.0,1,2,0.77
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,2000,2,1.38,0.0,1,3,0.93
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,2000,2,1.71,0.0,1,3,1.16
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,2000,2,2.0,0.0,1,5,0.8
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,2000,4,2.03,0.0,1,4,0.66
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,2000,4,1.61,0.0,1,4,0.6
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,2000,4,1.48,0.0,1,3,0.76
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,2000,8,1.56,0.0,1,4,0.49
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,2000,8,2.0,0.0,1,3,1.09
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,2000,8,1.71,0.0,1,5,1.12
T0,1,1,2,1,1,basic,100,0.5,createCar,0.0,50,5000,2,1.63,0.0,1,3,0.67
T0,1,1,2,1,1,basic,100,0.5,mixed,0.5,50,5000,2,2.22,0.0,1,6,0.71
T0,1,1,2,1,1,basic,100,0.5,queryCar,1.0,50,5000,2,1.92,0.0,1,5,0.79
